DoubleTree Suites by Hilton Hotel Boston - Cambridge,"Boston, MA",$120
Hilton Boston Back Bay,"Boston, MA",$136
Hampton Inn & Suites Boston Crosstown Center,"Boston, MA",$98
DoubleTree by Hilton Hotel Boston - Downtown,"Boston, MA",$108
Hilton Boston Downtown/Faneuil Hall,"Boston, MA",$130
Home2 Suites by Hilton Boston South Bay,"Boston, MA",
Embassy Suites by Hilton Boston at Logan Airport,"Boston, MA",$135
DoubleTree by Hilton Boston Bayside,"Boston, MA",$96
Hilton Boston Logan Airport,"Boston, MA",$132
Hilton Garden Inn Boston Logan Airport,"Boston, MA",$121
Homewood Suites by Hilton Boston / Andover,"Andover, MA",$107
Hampton Inn Boston/Braintree,"Braintree, MA",$103
DoubleTree by Hilton Hotel Boston-Andover,"Andover, MA",$119
Hampton Inn Auburn,"Auburn, MA",$94
Hampton Inn Amesbury,"Amesbury, MA",$87
Name,Location,Price per Night
Hampton Inn Big Rapids,"Big Rapids, MI",$83
Hampton Inn & Suites Bay City,"Bay City, MI",$78
DoubleTree by Hilton Hotel Bay City - Riverfront,"Bay City, MI",$111
